92.21	0.0	0.0	1.0	0.0	1.0	0.0	3.0	1.25	0.75	2.0	1.67	1.0	2.0	1.67	2.0	0.67	2.0	-1	0	1	0	0	1	0	1	1	0	0	0
168.99	0.0	0.0	0.0	0.0	3.0	1.33	2.33	2.33	1.33	2.33	0.33	1.0	0.33	1.0	1.67	1.33	0.0	1	2	1	1	1	3	1	1	1	1	1	1
13.44	2.0	1.0	1.0	1.0	0.67	2.0	0.0	1.0	1.67	0.33	1.33	1.33	1.33	0.67	1.67	0.33	2.0	-1	0	1	0	0	1	1	1	0	0	0	0
-18.21	0.0	1.0	1.0	0.0	1.33	2.33	1.0	0.33	1.33	0.33	0.67	1.33	0.67	0.67	1.67	0.33	2.0	-2	1	3	1	1	4	0	1	1	0	0	0
47.85	0.0	0.0	1.0	0.0	1.67	0.33	2.0	0.6	1.4	0.4	1.0	0.8	1.4	1.33	1.67	1.0	0.0	2	3	1	1	1	4	1	1	0	1	0	1
262.8	0.0	0.0	0.0	0.0	2.75	0.25	3.0	1.5	1.0	2.25	0.75	1.0	1.5	1.25	2.5	0.75	1.0	0	1	1	0	1	2	0	0	0	0	0	0
-126.3	1.0	1.0	1.0	1.0	2.0	0.0	3.0	1.5	1.5	1.5	2.5	0.0	3.0	2.0	0.0	3.0	2.0	-1	2	3	1	1	5	0	0	0	0	0	0
-6.07	2.0	1.0	1.0	1.0	0.67	1.33	0.67	1.0	1.33	1.33	2.33	2.33	1.33	0.67	1.0	1.33	1.0	0	1	1	0	1	2	0	1	0	1	1	1
-41.24	2.0	2.0	2.0	2.0	1.0	2.0	0.0	0.5	2.0	0.25	1.5	2.0	1.5	1.75	1.0	1.75	2.0	-2	0	2	0	0	2	1	0	1	1	1	1
-177.6	2.0	2.0	1.0	2.0	2.0	3.0	0.5	4.0	1.5	2.0	4.33	0.0	3.0	2.0	1.0	2.0	2.0	-4	0	4	1	0	4	1	1	0	1	0	1
39.15	0.0	0.0	1.0	0.0	2.0	0.33	2.33	0.67	2.0	0.0	1.5	1.25	1.5	1.5	1.0	1.5	1.0	0	1	1	0	1	2	0	1	0	0	1	0
83.04	0.0	0.0	0.0	0.0	2.67	1.67	2.33	1.33	2.0	1.0	1.0	2.33	0.33	0.67	1.67	1.0	1.0	0	0	0	0	0	0	0	0	0	0	0	0
